3150,Mercedes,G-Class,SUV,2021,Used,Black,25000
3151,Toyota,Camry,Sedan,2019,Used,Black,18000
3152,Dodge,Durango,SUV,2022,New,Blue,30000
3153,BMW,M4,Coupe,2022,New,Blue,30000
3154,Toyota,4Runner,4x4,2020,Used,White,20000
3155,Ford,F-150,Pick-up,2022,New,Blue,30000
3156,Honda,Accord,Sedan,2022,New,White,30000
3157,Toyota,Supra,Coupe,2020,Used,White,20000
3158,Ford,Focus,Sedan,2022,New,Green,30000
3159,Mercedes,G-Class,SUV,2022,New,Black,30000
3160,Chevrolet,Cruze,Sedan,2022,New,Red,30000
3161,Ford,Explorer,SUV,2019,Used,Green,18000
3162,Dodge,Dart,Sedan,2020,Used,White,20000
3163,Ford,Mustang,Coupe,2022,New,Green,30000
3164,Dodge,Dart,Sedan,2020,Used,Black,20000
3165,BMW,M4,Coupe,2021,Used,Red,25000
3166,Chevrolet,Tahoe,SUV,2020,Used,Red,20000
3167,Honda,Accord,Sedan,2022,New,Blue,30000
3168,Ford,Mustang,Coupe,2021,Used,Green,25000
3169,Honda,Odyssey,Mini-Van,2021,Used,Black,25000
3170,Chevrolet,Silverado,Pick-up,2020,Used,Green,20000
3171,Honda,Accord,Sedan,2021,Used,White,25000
3172,Ford,Explorer,SUV,2022,New,White,30000
3173,Chevrolet,Silverado,Pick-up,2019,Used,Black,18000
3174,Ford,F-150,Pick-up,2019,Used,Black,18000
3175,Chevrolet,Cruze,Sedan,2021,Used,Blue,25000
3176,BMW,M4,Coupe,2019,Used,Black,18000
3177,Honda,Pilot,SUV,2020,Used,White,20000
3178,BMW,M4,Coupe,2022,New,Red,30000
3179,Honda,Pilot,SUV,2022,New,Red,30000
3180,Toyota,Supra,Coupe,2019,Used,Black,18000
3181,Dodge,Dart,Sedan,2021,Used,Red,25000
3182,Dodge,Challenger,Coupe,2021,Used,Red,25000
3183,Mercedes,G-Class,SUV,2019,Used,White,18000
3184,Ford,Mustang,Coupe,2021,Used,Black,25000
3185,Honda,Odyssey,Mini-Van,2020,Used,Red,20000
3186,Ford,Focus,Sedan,2022,New,White,30000
3187,Toyota,4Runner,4x4,2022,New,Red,30000
3188,BMW,M4,Coupe,2022,New,Black,30000
3189,Honda,Accord,Sedan,2019,Used,White,18000
3190,Chevrolet,Silverado,Pick-up,2019,Used,White,18000
3191,Mercedes,G-Class,SUV,2022,New,Blue,30000
3192,BMW,M4,Coupe,2021,Used,White,25000
3193,Mercedes,G-Class,SUV,2019,Used,Green,18000
3194,Dodge,Dart,Sedan,2020,Used,Green,20000
3195,Dodge,Dart,Sedan,2019,Used,Green,18000
3196,Ford,F-150,Pick-up,2020,Used,Red,20000
3197,Honda,Pilot,SUV,2021,Used,Black,25000
3198,Chevrolet,Silverado,Pick-up,2019,Used,Red,18000
3199,Toyota,4Runner,4x4,2021,Used,Green,25000
3200,Chevrolet,Cruze,Sedan,2021,Used,Blue,25000
3201,Ford,Explorer,SUV,2019,Used,Green,18000
3202,Ford,Focus,Sedan,2021,Used,White,25000
3203,Chevrolet,Spark,Sedan,2022,New,Red,30000
3204,Dodge,Grand Caravan,Mini-Van,2020,Used,Black,20000
3205,Ford,Mustang,Coupe,2022,New,Green,30000
3206,Toyota,Supra,Coupe,2022,New,Blue,30000
3207,Toyota,4Runner,4x4,2022,New,White,30000
3208,Chevrolet,Silverado,Pick-up,2020,Used,White,20000
3209,Dodge,Dart,Sedan,2021,Used,Red,25000
3210,Toyota,4Runner,4x4,2021,Used,White,25000
3211,Chevrolet,Silverado,Pick-up,2020,Used,Green,20000
3212,Chevrolet,Spark,Sedan,2021,Used,Black,25000
3213,Honda,Pilot,SUV,2019,Used,Blue,18000
3214,Chevrolet,Silverado,Pick-up,2019,Used,Red,18000
3215,Ford,Explorer,SUV,2022,New,Blue,30000
3216,Honda,Accord,Sedan,2020,Used,Blue,20000
3217,Chevrolet,Tahoe,SUV,2020,Used,Green,20000
3218,Toyota,Supra,Coupe,2022,New,White,30000
3219,Chevrolet,Spark,Sedan,2019,Used,Black,18000
